Gene stable ID	Gene stable ID version	Transcript stable ID version
ENSVPAG00000006435	ENSVPAG00000006435.1	ENSVPAT00000006434.1
ENSVPAG00000006435	ENSVPAG00000006435.1	ENSVPAT00000006434.1
ENSVPAG00000011930	ENSVPAG00000011930.1	ENSVPAT00000011928.1
ENSVPAG00000005144	ENSVPAG00000005144.1	ENSVPAT00000005144.1
ENSVPAG00000005144	ENSVPAG00000005144.1	ENSVPAT00000005144.1
ENSVPAG00000006562	ENSVPAG00000006562.1	ENSVPAT00000006562.1
ENSVPAG00000006562	ENSVPAG00000006562.1	ENSVPAT00000006562.1
ENSVPAG00000006722	ENSVPAG00000006722.1	ENSVPAT00000006721.1
ENSVPAG00000000807	ENSVPAG00000000807.1	ENSVPAT00000000809.1
ENSVPAG00000000807	ENSVPAG00000000807.1	ENSVPAT00000000809.1
ENSVPAG00000000807	ENSVPAG00000000807.1	ENSVPAT00000000809.1
ENSVPAG00000001390	ENSVPAG00000001390.1	ENSVPAT00000001390.1
ENSVPAG00000003467	ENSVPAG00000003467.1	ENSVPAT00000003465.1
ENSVPAG00000003303	ENSVPAG00000003303.1	ENSVPAT00000003303.1
ENSVPAG00000005356	ENSVPAG00000005356.1	ENSVPAT00000005355.1
ENSVPAG00000002791	ENSVPAG00000002791.1	ENSVPAT00000002787.1
ENSVPAG00000002791	ENSVPAG00000002791.1	ENSVPAT00000002787.1
ENSVPAG00000002791	ENSVPAG00000002791.1	ENSVPAT00000002787.1
ENSVPAG00000012350	ENSVPAG00000012350.1	ENSVPAT00000012349.1
ENSVPAG00000012350	ENSVPAG00000012350.1	ENSVPAT00000012349.1
ENSVPAG00000009656	ENSVPAG00000009656.1	ENSVPAT00000009656.1
ENSVPAG00000002270	ENSVPAG00000002270.1	ENSVPAT00000002269.1
ENSVPAG00000006526	ENSVPAG00000006526.1	ENSVPAT00000006524.1
ENSVPAG00000007631	ENSVPAG00000007631.1	ENSVPAT00000007631.1
ENSVPAG00000007631	ENSVPAG00000007631.1	ENSVPAT00000007631.1
ENSVPAG00000009386	ENSVPAG00000009386.1	ENSVPAT00000009385.1
ENSVPAG00000006294	ENSVPAG00000006294.1	ENSVPAT00000006294.1
ENSVPAG00000006294	ENSVPAG00000006294.1	ENSVPAT00000006294.1
ENSVPAG00000004389	ENSVPAG00000004389.1	ENSVPAT00000004388.1
ENSVPAG00000002374	ENSVPAG00000002374.1	ENSVPAT00000002374.1
ENSVPAG00000009894	ENSVPAG00000009894.1	ENSVPAT00000009894.1
ENSVPAG00000003613	ENSVPAG00000003613.1	ENSVPAT00000003615.1
ENSVPAG00000003613	ENSVPAG00000003613.1	ENSVPAT00000003615.1
ENSVPAG00000007069	ENSVPAG00000007069.1	ENSVPAT00000007069.1
ENSVPAG00000007069	ENSVPAG00000007069.1	ENSVPAT00000007069.1
ENSVPAG00000007069	ENSVPAG00000007069.1	ENSVPAT00000007069.1
ENSVPAG00000010247	ENSVPAG00000010247.1	ENSVPAT00000010247.1
ENSVPAG00000010247	ENSVPAG00000010247.1	ENSVPAT00000010247.1
ENSVPAG00000011490	ENSVPAG00000011490.1	ENSVPAT00000011490.1
ENSVPAG00000002526	ENSVPAG00000002526.1	ENSVPAT00000002526.1
ENSVPAG00000012555	ENSVPAG00000012555.1	ENSVPAT00000012555.1
ENSVPAG00000005019	ENSVPAG00000005019.1	ENSVPAT00000005019.1
ENSVPAG00000017049	ENSVPAG00000017049.1	ENSVPAT00000016866.1
